[1581062400] LOG ROTATION: DAILY
[1581062400] LOG VERSION: 2.0
[1581091795] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 93% capacity! 3.2T of 3.6T
[1581093722] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.37, 5.19, 5.18
[1581093722] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.37, 5.19, 5.18
[1581093722] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 3.93, 4.05, 4.89
[1581094022] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 6.94, 6.89, 5.91
[1581094082] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 5.36, 6.44, 5.81
[1581094142] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 7.91, 6.85, 5.98
[1581094202] SERVICE ALERT: vonly-backup;Current Load;WARNING;HARD;4;WARNING - load average: 7.17, 6.91, 6.07
[1581094380] Auto-save of retention data completed successfully.
[1581095395] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 93% capacity! 3.2T of 3.6T
[1581095395] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 93% capacity! 3.2T of 3.6T
[1581096122] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;OK;notify-service-by-email;OK - load average: 4.64, 4.64, 4.95
[1581096122] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;OK;notify-service-by-email;OK - load average: 4.64, 4.64, 4.95
[1581096122] SERVICE ALERT: vonly-replica;Current Load;OK;HARD;4;OK - load average: 4.64, 4.64, 4.95
[1581096722] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;1;WARNING - load average: 5.12, 5.10, 5.04
[1581096782] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;2;WARNING - load average: 5.12, 5.10, 5.04
[1581096842] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;3;WARNING - load average: 5.12, 5.10, 5.05
[1581096902] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.02, 5.08, 5.04
[1581096902] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.02, 5.08, 5.04
[1581096902] SERVICE ALERT: vonly-replica;Current Load;WARNING;HARD;4;WARNING - load average: 5.02, 5.08, 5.04
[1581096902] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 4.02, 4.48, 4.92
[1581097202] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 11.13, 9.15, 6.87
[1581097262] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 6.86, 8.28, 6.72
[1581097322] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 4.66, 7.39, 6.51
